SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuXiMinPressure,FuXiMinLat,FuXiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015122N07144,2015,26,NOUL,2015-05-08 18:00:00,13.7,127.1,944.0,989.51513671875,13.75,127.0,985.215087890625,13.5,127.0
2015122N07144,2015,26,NOUL,2015-05-09 00:00:00,14.3,126.2,944.0,992.1400756835938,14.25,126.0,981.8710327148438,14.5,126.0
2015122N07144,2015,26,NOUL,2015-05-09 06:00:00,14.9,125.2,944.0,990.068603515625,15.0,125.0,989.074462890625,15.0,125.0
2015122N07144,2015,26,NOUL,2015-05-09 12:00:00,15.4,124.6,933.0,991.017333984375,15.5,124.25,985.1085815429688,15.5,124.5
2015122N07144,2015,26,NOUL,2015-05-09 18:00:00,16.1,123.9,922.0,989.942138671875,16.0,123.5,982.4644775390625,16.0,123.5
2015122N07144,2015,26,NOUL,2015-05-10 00:00:00,17.0,123.3,918.0,993.5474243164062,16.75,122.75,978.3001708984375,17.0,123.0
2015122N07144,2015,26,NOUL,2015-05-10 06:00:00,17.8,122.6,918.0,995.2315063476562,17.75,121.75,980.1972045898438,18.0,122.5
2015122N07144,2015,26,NOUL,2015-05-10 12:00:00,18.6,122.3,926.0,997.6587524414062,18.25,121.75,981.7471923828125,19.0,122.0
2015122N07144,2015,26,NOUL,2015-05-10 18:00:00,19.6,122.0,937.0,997.9513549804688,19.25,121.25,981.4592895507812,20.0,121.5
2015122N07144,2015,26,NOUL,2015-05-11 00:00:00,20.6,122.0,944.0,998.8685302734375,20.0,121.25,987.1785888671875,21.0,121.5
2015122N07144,2015,26,NOUL,2015-05-11 06:00:00,21.7,122.3,956.0,996.7811889648438,21.5,121.75,985.838623046875,22.0,122.5
2015122N07144,2015,26,NOUL,2015-05-11 12:00:00,23.3,123.5,963.0,996.765380859375,23.25,123.0,986.7926635742188,23.5,124.0
2015122N07144,2015,26,NOUL,2015-05-11 18:00:00,25.6,125.6,970.0,996.7574462890625,25.25,124.75,983.69384765625,25.5,126.0
2015122N07144,2015,26,NOUL,2015-05-12 00:00:00,28.0,128.5,982.0,997.3267211914062,27.5,127.5,986.2044677734375,28.0,129.0
2015122N07144,2015,26,NOUL,2015-05-12 06:00:00,30.5,132.3,985.0,1013.5270385742188,23.5,130.5,986.667236328125,30.5,133.0
